PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
e9VCa,8/3P1k2/2B2pp1/2Bq3p/7P/6P1/5P1K/8 b - - 5 47,d5c6 d7d8n f7g8 d8c6,640,96,74,3255,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/yZhM1YeC/black#94,
km9Ub,5rRk/p2p4/1pp2N2/4P3/7r/5n2/PPP2P2/5KR1 b - - 17 33,f8g8 g1g8,627,97,90,3215,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/Vzj75F4a/black#66,
57wKQ,r4k2/5p1R/p3b2p/8/2p1N3/2K5/PP3P1P/8 b - - 2 27,e6f5 h7h8 f8e7 h8a8,672,91,92,3214,crushing endgame short skewer,https://lichess.org/aVyE5Rnn/black#54,
fvqUn,r7/pp4p1/2pp2p1/4p2k/4P1pP/P1PP1PP1/1P5K/5R2 b - - 0 32,a8f8 f3g4 h5g4 f1f8,663,93,96,3206,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/kclfYmEr/black#64,
sIpAg,r1bq2k1/ppp2r1p/2n3pB/3Q4/8/P2B2KP/1PP3P1/RN2R3 b - - 0 17,d8d5 e1e8 f7f8 e8f8,610,79,94,3198,kingsideAttack mate mateIn2 middlegame operaMate short,https://lichess.org/BpLz5quc/black#34,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
KUYuR,6R1/8/1p6/p2p1k2/P2P1rp1/1PKP4/8/8 b - - 1 42,f4f1 g8f8 f5g5 f8f1,673,83,98,3188,crushing endgame master rookEndgame short skewer,https://lichess.org/9JfP530x/black#84,
f9luL,r5k1/p4p1p/6p1/R7/4PpP1/2b2P1P/P3B3/6K1 w - - 0 33,a5c5 c3d4 g1f1 d4c5,676,95,97,3186,crushing endgame fork short,https://lichess.org/2AimC2xy#65,
S5G9O,r5k1/p2nB2p/1p2R1p1/5p2/1P6/3B1P2/P4P1q/b2Q1K2 w - - 0 22,d1a1 h2h1 f1e2 h1a1,613,86,96,3179,crushing middlegame short skewer,https://lichess.org/s083fAB6#43,
zUHu3,r1b3kr/ppp2p1p/1bnp3B/8/8/8/PPP3PP/R1K1NB1N b - - 0 17,f7f6 f1c4 d6d5 c4d5 c8e6 d5e6,680,103,93,3176,bodenMate kingsideAttack long mate mateIn3 middlegame,https://lichess.org/2SrIq68J/black#34,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
BKLTK,r2r2k1/pb3ppp/1p2p3/3q4/1P1b1P2/P4N2/4B1PP/2RQ1RK1 w - - 0 17,f3d4 d5g2,660,80,100,3175,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/t3auk9RN#33,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
vFazS,8/p4k1p/2p3p1/2P5/PP1bQ3/3b1K2/4p1PP/8 w - - 1 34,e4d3 e2e1n f3e2 e1d3,695,98,64,3170,advancedPawn advantage endgame fork promotion short underPromotion,https://lichess.org/wsFrrdbY#67,
b3MD0,r4rk1/pp3pp1/3R3p/2p1P2n/6Q1/4B3/qPP2PPP/2K4R w - - 0 17,e3h6 a2a1 c1d2 a1h1,659,87,96,3154,advantage middlegame short skewer,https://lichess.org/lkGVSraT#33,Philidor_Defense Philidor_Defense_Other_variations
5SXbH,8/3k4/R2r4/p7/1p2BP2/4n1PK/8/8 w - - 0 52,a6a5 d6h6 a5h5 h6h5,645,93,92,3152,anastasiaMate endgame master mate mateIn2 short,https://lichess.org/tX9gxilC#103,
Z3qgo,3r2k1/p4pp1/p6p/8/3b1B2/P7/1P3PPP/4R1K1 w - - 0 26,e1d1 d4f2 g1f2 d8d1,608,88,97,3140,advantage discoveredAttack endgame short,https://lichess.org/fQHm8ox3#51,
